u,v,deg_u,deg_v,score
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_c05126f6-6491-488c-bbcb-ce45dd51fd9b-00056cea,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_c05126f6-6491-488c-bbcb-ce45dd51fd9b-00056cea,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_ade416cd-2b74-4dcd-8ab5-31ce0060c64d-0005a9c2,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_ade416cd-2b74-4dcd-8ab5-31ce0060c64d-0005a9c2,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-00055bdb,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-00055bdb,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_c05126f6-6491-488c-bbcb-ce45dd51fd9b-00056ce6,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_c05126f6-6491-488c-bbcb-ce45dd51fd9b-00056ce6,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_3094f2f5-a32a-476b-b4d9-162eeedcf9ec-000576c4,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_3094f2f5-a32a-476b-b4d9-162eeedcf9ec-000576c4,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-00055e20,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-00055e20,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-00056078,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-00056078,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_c05126f6-6491-488c-bbcb-ce45dd51fd9b-00056cfa,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_c05126f6-6491-488c-bbcb-ce45dd51fd9b-00056cfa,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_c05126f6-6491-488c-bbcb-ce45dd51fd9b-00056cee,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_c05126f6-6491-488c-bbcb-ce45dd51fd9b-00056cee,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_c05126f6-6491-488c-bbcb-ce45dd51fd9b-00056cf2,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_c05126f6-6491-488c-bbcb-ce45dd51fd9b-00056cf2,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-00056308,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-00056308,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_3094f2f5-a32a-476b-b4d9-162eeedcf9ec-0005762d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_3094f2f5-a32a-476b-b4d9-162eeedcf9ec-0005762d,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-00055ec1,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-00055ec1,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_c05126f6-6491-488c-bbcb-ce45dd51fd9b-00056d2f,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_c05126f6-6491-488c-bbcb-ce45dd51fd9b-00056d2f,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Stair_ID_3094f2f5-a32a-476b-b4d9-162eeedcf9ec-00057744,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_3094f2f5-a32a-476b-b4d9-162eeedcf9ec-00057744,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-000563e9,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-000563e9,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_6f66a3a9-2bce-490c-8b95-2f9f3e2081f2-000580f8,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_6f66a3a9-2bce-490c-8b95-2f9f3e2081f2-000580f8,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-000567f5,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-000567f5,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-00055d07,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-00055d07,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-00055fc9,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-00055fc9,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-00056449,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-00056449,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-00055e4d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-00055e4d,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-000562a2,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-000562a2,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-00056b74,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-00056b74,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-000565eb,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_9d073b8b-deaf-4eb6-b129-285c42cf099e-000565eb,1,1,2
